No,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code
270,Đa hương,Polyosma Sp,78.5,24.98,0.04903127,14.5000947,108.575683,A21
271,Đa hương,Polyosma Sp,92.5,29.44,0.068079647,14.4994358,108.5756781,A21
272,Đa hương,Polyosma Sp,67.5,21.48,0.036252785,14.4994358,108.5756781,A21
273,Đa hương,Polyosma Sp,105,33.42,0.087722788,14.5000366,108.5756674,A21
274,Đa hương,Polyosma Sp,105,33.42,0.087722788,14.499943,108.5756478,A21
275,Đa hương,Polyosma Sp,92.5,29.44,0.068079647,14.4997121,108.5755998,A21
276,Đa hương,Polyosma Sp,98,31.19,0.076416295,14.5001024,108.5755643,A21
277,Đa hương,Polyosma Sp,115,36.6,0.105227562,14.499508,108.5755324,A21
278,Dâu da đất,Baccaurea ramiflora ,38.5,12.25,0.011793842,14.4999,108.576561,A22
279,Dâu da đất,Baccaurea ramiflora ,39.5,12.57,0.012414465,14.499214,108.575767,A22
280,Dâu da đất,Baccaurea ramiflora ,40.5,12.89,0.013051003,14.499322,108.575766,A22
281,Dâu da đất,Baccaurea ramiflora ,64.4,20.5,0.032999363,14.499978,108.576256,A22
282,Dâu da đất,Baccaurea ramiflora ,49,15.6,0.019104074,14.49971,108.57617,A22
283,Dâu da đất,Baccaurea ramiflora ,57,18.14,0.025851369,14.499964,108.576166,A22
284,Dâu da đất,Baccaurea ramiflora ,48.3,15.37,0.018562142,14.499755,108.576068,A22
285,Dâu da đất,Baccaurea ramiflora ,33.3,10.6,0.008823122,14.4999665,108.5760457,A22
286,Dâu da đất,Baccaurea ramiflora ,36.5,11.62,0.010600334,14.5000543,108.5760021,A22
287,Dâu da đất,Baccaurea ramiflora ,32,10.18,0.008147677,14.499618,108.575881,A22
288,Dâu da đất,Baccaurea ramiflora ,57.5,18.3,0.026306891,14.4995164,108.5758142,A22
289,Dâu da đất,Baccaurea ramiflora ,53,16.87,0.022350414,14.4994948,108.5757833,A22
290,Dâu da đất,Baccaurea ramiflora ,64.5,20.53,0.033101926,14.499706,108.5757025,A22
291,Dâu da đất,Baccaurea ramiflora ,50.4,16.04,0.02021133,14.4994358,108.5756781,A22
292,Dâu da đất,Baccaurea ramiflora ,58.5,18.62,0.02722987,14.4995119,108.5756635,A22
293,Dâu da đất,Baccaurea ramiflora ,42.4,13.49,0.014304265,14.4993026,108.575651,A22
294,Dâu da đất,Baccaurea ramiflora ,95,30.24,0.071809357,14.4992602,108.5755876,A22
295,Dâu da đất,Baccaurea ramiflora ,64.5,20.53,0.033101926,14.4992151,108.5755661,A22
