No,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code
263,Còng tía,Calophyllum saigonense,81.6,25.97,0.05,14.5000132,108.5756936,A20
264,Còng tía,Calophyllum saigonense,92.5,29.44,0.07,14.4999906,108.5756907,A20
265,Còng tía,Calophyllum saigonense,87.7,27.91,0.06,14.4994921,108.5756901,A20
266,Còng tía,Calophyllum saigonense,61.8,19.67,0.03,14.4999386,108.5756893,A20
267,Còng tía,Calophyllum saigonense,45.7,14.54,0.02,14.4999386,108.5756893,A20
268,Còng tía,Calophyllum saigonense,57,18.14,0.03,14.4998376,108.5756747,A20
269,Còng tía,Calophyllum saigonense,61,19.41,0.03,14.4999771,108.5756499,A20
270,Còng tía,Calophyllum saigonense,86.5,27.53,0.06,14.4996669,108.5756498,A20
271,Còng tía,Calophyllum saigonense,75,23.87,0.04,14.499847,108.5756481,A20
272,Còng tía,Calophyllum saigonense,68,21.64,0.04,14.499943,108.5756478,A20
273,Còng tía,Calophyllum saigonense,74.8,23.81,0.04,14.4999863,108.5756462,A20
274,Còng tía,Calophyllum saigonense,80,25.46,0.05,14.4998395,108.5756456,A20
275,Còng tía,Calophyllum saigonense,60.8,19.35,0.03,14.4997019,108.5756371,A20
276,Còng tía,Calophyllum saigonense,48.5,15.44,0.02,14.4994314,108.575623,A20
277,Còng tía,Calophyllum saigonense,67.7,21.55,0.04,14.4997121,108.5755998,A20
278,Còng tía,Calophyllum saigonense,145.5,46.31,0.17,14.5000483,108.5755948,A20
279,Còng tía,Calophyllum saigonense,59.5,18.94,0.03,14.5001336,108.57558,A20
280,Còng tía,Calophyllum saigonense,53,16.87,0.02,14.4992555,108.5755647,A20
281,Còng tía,Calophyllum saigonense,76,24.19,0.05,14.4997533,108.5755613,A20
282,Còng tía,Calophyllum saigonense,90.5,28.8,0.07,14.4996565,108.5755587,A20
283,Còng tía,Calophyllum saigonense,81,25.78,0.05,14.4998983,108.5755556,A20
284,Còng tía,Calophyllum saigonense,76,24.19,0.05,14.4997781,108.5755552,A20
285,Còng tía,Calophyllum saigonense,58.8,18.71,0.03,14.4998333,108.5755495,A20
286,Còng tía,Calophyllum saigonense,89,28.33,0.06,14.4996052,108.5755352,A20
287,Còng tía,Calophyllum saigonense,73,23.23,0.04,14.4996199,108.5755164,A20
288,Còng tía,Calophyllum saigonense,35,11.14,0.01,14.4993533,108.5754748,A20
289,Đa hương,Sp1,41.4,13.18,0.01,14.499278,108.576399,A21
290,Đa hương,Sp1,35.4,11.27,0.01,14.499314,108.576393,A21
291,Đa hương,Sp1,45.5,14.48,0.02,14.499397,108.576386,A21
292,Đa hương,Sp1,70.2,22.34,0.04,14.499309,108.575835,A21
293,Đa hương,Sp1,52.5,16.71,0.02,14.499198,108.575825,A21
294,Đa hương,Sp1,86.4,27.5,0.06,14.499343,108.575768,A21
295,Đa hương,Sp1,82.8,26.35,0.05,14.49921,108.575756,A21
296,Đa hương,Sp1,40,12.73,0.01,14.499597,108.576255,A21
297,Đa hương,Sp1,31.5,10.03,0.01,14.499919,108.57623,A21
298,Đa hương,Sp1,70,22.28,0.04,14.499396,108.576207,A21
299,Đa hương,Sp1,51.2,16.3,0.02,14.499424,108.576147,A21
300,Đa hương,Sp1,63.9,20.34,0.03,14.49938,108.576135,A21
301,Đa hương,Sp1,68,21.64,0.04,14.499363,108.576112,A21
302,Đa hương,Sp1,45,14.32,0.02,14.499464,108.576081,A21
303,Đa hương,Sp1,44.6,14.19,0.02,14.499228,108.576055,A21
304,Đa hương,Sp1,85.6,27.24,0.06,14.499517,108.576044,A21
305,Đa hương,Sp1,81.5,25.94,0.05,14.499369,108.576014,A21
306,Đa hương,Sp1,125,39.78,0.12,14.499546,108.57595,A21
307,Đa hương,Sp1,99,31.51,0.08,14.499334,108.575915,A21
308,Đa hương,Sp1,74.4,23.68,0.04,14.499688,108.575907,A21
309,Đa hương,Sp1,74,23.55,0.04,14.4994866,108.5758412,A21
310,Đa hương,Sp1,78,24.82,0.05,14.5000233,108.5758191,A21
