Point	Longitude	Latitude	radius_m	gr	Lr	distance	d2x	d2y
S0548	108.576332	14.499273	53.0	0.0	-53.0	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	54.0	0.0	-54.0	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	55.0	0.0	-55.0	102.27374485014575	100.46650179535223	19.141601361359527
S0548	108.576332	14.499273	56.0	0.0	-56.0	102.27374485014575	100.46650179535223	19.141601361359527
S0549	108.575871	14.499233	1.0	0.0	1.783405651418787	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	2.0	0.9684183775437554	0.783405651418787	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	3.0	1.9368367550875107	0.9363300218223682	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	4.0	1.4526275663156332	1.566811302837574	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	5.0	0.7747347020350044	1.2238842455294927	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	6.0	0.9684183775437553	0.8179235931550499	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	7.0	0.553381930025003	0.8726600436447365	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	8.0	0.0	-0.12733995635526352	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	9.0	0.8608163355944494	-1.1273399563552635	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	10.0	0.9684183775437554	-0.3579999873366244	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	11.0	0.17607606864431904	-0.9642882033933162	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	12.0	0.32280612584791857	-1.9642882033933162	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	13.0	0.8939246561942357	-2.2199162663154297	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	14.0	0.8300728950375046	-1.8674160465855092	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	15.0	0.6456122516958371	-2.2448329126055384	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	16.0	0.605261485964847	-2.3641528136899	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	17.0	1.0253841644580939	-2.807360269171168	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	18.0	1.0760204194930618	-2.0105518646967866	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	19.0	0.9174489892519788	-2.299566091487275	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	20.0	1.0652602152981308	-1.961469714671825	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	21.0	0.9223032167083381	-1.9179322410685273	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	22.0	0.6162662402551172	-1.9285764067866324	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	23.0	0.42105146849728486	-2.546229220534851	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	24.0	0.8877168460817757	-2.985748165591229	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	25.0	0.8522081722385053	-2.5594662201909095	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	26.0	0.44696232809711783	-3.0474490005184194	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	27.0	0.3586734731643538	-3.5466071016397898	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	28.0	0.27669096501250134	-4.2185716895399	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	29.0	0.8014496917603493	-4.8949999683415655	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	30.0	1.0975408278829228	-4.338267854064224	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	31.0	0.6247860500282291	-4.302510869518013	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	32.0	0.36315689157890885	-4.870717537442054	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	33.0	0.29346011440719905	-5.445689847243422	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	34.0	0.5696578691433853	-6.165943485812125	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	35.0	0.8300728950375039	-6.073999962009875	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	36.0	0.8608163355944496	-6.151299737840262	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	37.0	0.7328571505736529	-6.005306413461586	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	38.0	0.4077551063342125	-6.386588832820404	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	39.0	0.3972998471974378	-7.021103729393573	52.86182275436415	50.77224338613914	14.71569252371297
S0549	108.575871	14.499233	40.0	0.4357882698946897	-7.421072120342025	52.86182275436415	50.77224338613914	14.71569252371297
